id,name,city,region,geom,created_at,boundary,school_count,hospital_count
270,Akshaya Nagar,Bangalore,West Hyderabad,POINT(77.6831272 13.0195427),2026-02-19 10:36:46.781721,,0,0
295,Bukkasagara,Bangalore,West Hyderabad,POINT(77.6324661 12.7756195),2026-02-19 10:37:25.627888,,0,0
296,Byrathi,Bangalore,West Hyderabad,POINT(77.6721894 13.0578901),2026-02-19 10:37:25.627888,,0,0
297,CHAMBENAHALLI,Bangalore,West Hyderabad,POINT(77.7662379 12.8886379),2026-02-19 10:37:25.627888,,0,0
298,CHIKKANAYAKANAHALLI,Bangalore,West Hyderabad,POINT(77.6935023 12.8891122),2026-02-19 10:37:25.627888,,0,0
299,Carmelaram,Bangalore,West Hyderabad,POINT(77.7065133 12.9111998),2026-02-19 10:37:25.627888,,0,0
300,Chandapura,Bangalore,West Hyderabad,POINT(77.7114908 12.8009043),2026-02-19 10:37:25.627888,,0,0
301,Chikkabanahalli,Bangalore,West Hyderabad,POINT(77.7534826 13.0184264),2026-02-19 10:37:25.627888,,0,0
302,Chikkagubbi,Bangalore,West Hyderabad,POINT(77.6616026 13.0822582),2026-02-19 10:37:25.627888,,0,0
303,Chokkanahalli,Bangalore,West Hyderabad,POINT(77.6263539 13.0850788),2026-02-19 10:37:25.627888,,0,0
304,Chowdenahalli,Bangalore,West Hyderabad,POINT(77.761841 12.8860844),2026-02-19 10:37:25.627888,,0,0
305,Defence & Aerospace Park,Bangalore,West Hyderabad,POINT(77.7710374 13.2229369),2026-02-19 10:38:37.967380,,0,0
311,Electronic City Phase 2,Bangalore,West Hyderabad,POINT(77.6769267 12.8468545),2026-02-19 10:38:37.967380,,0,0
307,Doddakannelli,Bangalore,West Hyderabad,POINT(77.6934164 12.9115381),2026-02-19 10:38:37.967380,,0,0
308,Dollars Colony,Bangalore,West Hyderabad,POINT(77.5678155 13.0413668),2026-02-19 10:38:37.967380,,0,0
309,Dommasandra Road,Bangalore,West Hyderabad,POINT(77.7534769 12.8777098),2026-02-19 10:38:37.967380,,0,0
310,Electronic City Phase 1,Bangalore,West Hyderabad,POINT(77.6649749 12.8496783),2026-02-19 10:38:37.967380,,0,0
313,Gattahalli,Bangalore,West Hyderabad,POINT(77.7026913 12.8685628),2026-02-19 10:38:37.967380,,0,0
314,Geddalahalli,Bangalore,West Hyderabad,POINT(77.5675668 13.0367681),2026-02-19 10:38:37.967380,,0,0
315,Gollahalli,Bangalore,West Hyderabad,POINT(77.5852714 12.821532),2026-02-19 10:38:37.967380,,0,0
316,Gottigere,Bangalore,West Hyderabad,POINT(77.5877237 12.8565317),2026-02-19 10:38:37.967380,,0,0
317,Govindaraja Nagar,Bangalore,West Hyderabad,POINT(77.5367385 12.9755632),2026-02-19 10:38:37.967380,,0,0
318,Guddahatti,Bangalore,West Hyderabad,POINT(77.7421356 12.8039382),2026-02-19 10:38:37.967380,,0,0
319,HESARAGHATTA,Bangalore,West Hyderabad,POINT(77.4730361 13.1042269),2026-02-19 10:38:37.967380,,0,0
320,HOSAHALLI,Bangalore,West Hyderabad,POINT(77.5414979 12.9660431),2026-02-19 10:38:37.967380,,0,0
321,HSR Layout,Bangalore,West Hyderabad,POINT(77.6388622 12.9116225),2026-02-19 10:38:37.967380,,0,0
322,Harohalli,Bangalore,West Hyderabad,POINT(77.5804603 13.1305028),2026-02-19 10:38:37.967380,,0,0
323,Hennur Main Road,Bangalore,West Hyderabad,POINT(77.6313982 13.0255533),2026-02-19 10:38:37.967380,,0,0
324,Hennur Road,Bangalore,West Hyderabad,POINT(77.6413572 13.037077),2026-02-19 10:38:37.967380,,0,0
326,Horamavu,Bangalore,West Hyderabad,POINT(77.6601508 13.0273312),2026-02-19 10:39:24.112969,,0,0
327,Hoskote,Bangalore,West Hyderabad,POINT(77.7618779 13.0318443),2026-02-19 10:39:24.112969,,0,0
